Clase,Estado,Fecha de solicitud,fecha_atención,Mes,lugar,latitud,longitud,Actividad,comentario,Columna 11,Foto,Responsable,Detalle
Propagación y plantación,,,30/03/2026,marzo,,"-12,0715","-77,0813",,Poda de ficus en Estructuras,,https://upload.wikimedia.org/wikipedia/commons/e/eb/Ashikaga_Flower_Park_Wisteria_2012.jpg,,
Propagación y plantación,,,30/03/2026,marzo,FARES,"-12,0646","-77,0786",, riego nocturno,,,,
Mejoramiento de Jardin de OCAI,,,28/03/2026,marzo,OCAI,"-12,0683","-77,0780",,Desmalezado,,https://drive.google.com/file/d/1CowPR8ah_DquYFO776CAXJSQTtYEte-Y,,
Mantenimiento de Jardin de Estacionamiento,,,27/03/2026,marzo,Estacionamiento,"-12,0693","-77,0816",,Deshierbo  jardineles Playa estacionamiento ciencias,,https://drive.google.com/file/d/1hMA2vm5YLFv1oTYdtL-WfhdwPlmOhl5N,,
Mantenimiento de Jardin de arte Antiguo,,,27/03/2026,marzo,arte Antiguo,"-12,0703","-77,0789",,Poda de lantana arbol alamos en artes antiguo,,https://drive.google.com/file/d/1aQisFhrXJFiTJw-C6FtY3ZeXN4BgB_T-,,
Mantenimiento de Jardin de arte Nuevo,,,27/03/2026,marzo,arte Nuevo,"-12,0668","-77,0796",,Poda de molles,,https://drive.google.com/file/d/1s5a226i6X8HoKVwWg79AbKet-I-uknzn,,
Mejoramiento de Jardin de ingenieria,,,26/03/2026,marzo,ingenieria,"-12,0712","-77,0815",,Sembrado de durantas y saguinarias ingenieria,,https://drive.google.com/file/d/1b9sgB1jY0ekyDSi4WUDPpuvcOn86JEea,,
Mnatenimiento de Jardin de ING CIVIL,,,26/03/2026,marzo,ING CIVIL,"-12,0717","-77,0817",,Canteo y poda en Estructuras,,https://drive.google.com/file/d/1sysAU2LrSWGO3JmM54PekgnASGxQVScc,,
Mantenimiento de Jardin de ING CIVIL,,,25/03/2026,marzo,ING CIVIL,"-12,0700","-77,0809",,Canteo en Estructuras,,https://drive.google.com/file/d/1izm3nTQLjCLfwZWNIEx2Rwm-c7V89oij/view?usp=drive_link,,
Mejoramiento de Jardin de Derecho,,,24/03/2026,marzo,Derecho,"-12,0689","-77,0789",,Siembra de plantas en jardinera de Derecho,,https://drive.google.com/file/d/1nREOMoy0Kukx3trVRhKd0BQ6EzuSvzp8/view?usp=drive_link,,
Mejoramiento de  Jardin Central,,,24/03/2026,marzo,Jardin Central,,,,Canteo y Siembra de sanguinarias,,https://drive.google.com/file/d/1lqmvfeJ2z4Th7DxauMy0xLBERUpi7yey/view?usp=drive_link,,
Manteminiento de Jardin de BCIA,,,24/03/2026,marzo,BCIA,,,,Dehierbo BCA,,https://drive.google.com/file/d/1CFJvlP0gcPhalkCRE-0dXwGoAyIivQF_/view?usp=drive_link,,
Mantenimiento de  Jardín central,,,24/03/2026,marzo,Jardín central,,,,Poda jardín central,,https://drive.google.com/file/d/1CoIG0JUKdyUaChVsMyznD5NgHjez4kNH/view?usp=drive_link,,
Mejoramiento de  Gelarti,,,24/03/2026,marzo,Gelarti,,,,Canteo deshierbo poda de cerco y un arbol ingenieria y gelarti,,https://drive.google.com/file/d/1Ozc8rOoIP_-jFz7TssvqUSdRXY-d8lds/view?usp=drive_link,,
Mejoramiento de Jardin de Estudios generales ciencias,,,23/03/2026,marzo,Estudios generales ciencias,,,,Canteo poda de lantanas barrido de hojas y se boto un coche com maleza,,Estudios generales ciencias.jpeg,,
Desmalezado de veredas ,,,20/03/2026,marzo,"playas O, D Y C",,,,Desmalezado,,https://drive.google.com/file/d/1gHBmP_z21YBYHR7bx34CZFGMmaUXWWRB/view?usp=drive_link,,
Mejoramiento de Jardin de Derecho,,,19/03/2026,marzo,Derecho,,,, confitillo en Derecho,,https://drive.google.com/file/d/1c0HuCNL0wggK5t2XTD699lBEa9RULVf2/view?usp=drive_link,,
Mejoramiento de Jardin de Derecho,,,19/03/2026,marzo,Derecho,,,,Arregló de plazuela de Derecho santolina en Derecho,,https://drive.google.com/file/d/1QkC63B9WhQs11-Ztliz-qqkEjbxvg4at/view?usp=drive_link,,
Mejoramiento de Jardin de Pabellon Z,,,19/03/2026,marzo,Pabellon Z,,,,Echando mulch en la virgen de Z,,https://drive.google.com/file/d/1tGobexAmLt1LVsxOYST09NbpsFPqQjEe/view?usp=drive_link,,
Mejoramiento de Jardin de Minas,,,18/03/2026,marzo,Minas,,,,Se maleza de ichu en Minas,,https://drive.google.com/file/d/1yC0eTRAy9j0X4Qq_CwuJxA0sX6fSV4Ev/view?usp=drive_link,,
Mejoramiento de Jardin de estudio TV,,,17/03/2026,marzo,estudio TV,,,,Barrido de hoja estudio TV,,https://drive.google.com/file/d/1Y9r2sGnrWqOYa1QD8Z7qxDeAUCMnX3Rt/view?usp=drive_link,,
Mejoramiento de Jardin de CAPU,,,17/03/2026,marzo,CAPU,,,,Se colocó gras en CAPU,,https://drive.google.com/file/d/1OFJVRdMDFCObGmjyk1NmnKcIejZxy8ZH/view?usp=drive_link,,
Mejoramiento de Jardin de letras,,,17/03/2026,marzo,letras,,,,Poda letra,,https://drive.google.com/file/d/14lBDJ1mYfvyv_AqFKEbAbJcTPRJiEfan/view?usp=drive_link,,
Mejoramiento de Jardin de Z,,,17/03/2026,marzo,Z,,,,Poda de ponceana en Z,,https://drive.google.com/file/d/1Q0d25xnws7mak8q65Bfatsl9lio_e94j/view?usp=drive_link,,
Mejoramiento de Jardin de Derecho,,,16/03/2026,marzo,Derecho,,,, gras en Derecho,,https://drive.google.com/file/d/18JJl6ANVhnmJ2jld888UM-zNrUSUE-v1/view?usp=drive_link,,
Mejoramiento de Jardin de Química,,,16/03/2026,marzo,Química,,,,Castrado de palmeras y plantado de palmeras,,https://drive.google.com/file/d/1H4uQ4wFTtCh3ZPxXGtYIMUbRUpYXaXzD/view?usp=drive_link,,
Mejoramiento de Jardin de Química,,,16/03/2026,marzo,Química,,,,"Apoyo en extracción de abutilon , gras y palmeras frente a Química",,https://drive.google.com/file/d/15CL36Di4ABfDX8-zubm1AfM30NtH-ItM/view?usp=drive_link,,
Mejoramiento de Jardin de educación,,,16/03/2026,marzo,educación,,,,Canteo educación,,https://drive.google.com/file/d/1H5-mJmgV60y7MAjwO907PNCEW-Y6zzvX/view?usp=drive_link,,
Mejoramiento de Jardin de ceprepucp,,,12/03/2026,marzo,ceprepucp,,,,Arreglo de cactario en ceprepuc,,https://drive.google.com/file/d/1AsU31eOq0RAffeoc6bfItWkDrCiTKa8w/view?usp=drive_link,,
Mejoramiento de Jardin de Química,,,11/03/2026,marzo,Química,,,,Se plantó pavay en quinica,,https://drive.google.com/file/d/1uQOqKmZ-6HHuxgl2q9r57iuzdTG6Othf/view?usp=drive_link,,
Mejoramiento de Jardin de OCAI,,,11/03/2026,marzo,OCAI,,,,Deshierbo de macizos ( OCAI ),,https://drive.google.com/file/d/14ELlDHrTyaJTv6DndZkVlnPflMBDD2vC/view?usp=drive_link,,
Mejoramiento de Jardin de ceprepucp,,,10/03/2026,marzo,ceprepucp,,,,Nivelando terreno en el cactario de ceprepuc,,https://drive.google.com/file/d/1BA_Q9fx0qVgckfcBRi17ZPyWBfWfnXb_/view?usp=drive_link,,
"Mejoramiento de Jardin de Teología , Derecho",,,10/03/2026,marzo,"Teología , Derecho",,,,Poda en Teología y Derecho,,https://drive.google.com/file/d/188TOWTWQN3RwgGJ3EF51QC5BlQqU7WM0/view?usp=drive_link,,
Mejoramiento de Jardin de principal,,,10/03/2026,marzo,principal,,,,"Remoción, siembra y riego de durantas, sector puerta principal.",,,,
Mejoramiento de Jardin de pabellon V,,,10/03/2026,marzo,pabellon V,,,,Se echó confitillo en pabellón V,,https://drive.google.com/file/d/1m7azMWzzrEhCj_mJQxpQa16Fz9Nt9A78/view?usp=drive_link,,
Mejoramiento de Jardin de dinthilac,,,09/03/2026,marzo,dinthilac,,,,Se terminó sembrado de duranta en la bandera,,https://drive.google.com/file/d/1Oj_fIyS7BlYAs2mxGaIeh9Dy2CwMjJXz/view?usp=drive_link,,
Mejoramiento de Jardin de pabellon V,,,09/03/2026,marzo,pabellon V,,,,30 sacos de confitillo en pabellón V,,https://drive.google.com/file/d/1qHDdZx8Tii5mumT8tklIK7tYm8WWrVIg/view?usp=drive_link,,
Mejoramiento de Jardin de dinthilac,,,09/03/2026,marzo,dinthilac,,,,Sembrado duranta en la bandera,,https://drive.google.com/file/d/1WWbSWv-lvQDUhzbyBRm6rBn1p4BS4-eX/view?usp=drive_link,,
Mejoramiento de Jardin de civil,,,07/03/2026,marzo,civil,,,,Sembrado en estructuras,,https://drive.google.com/file/d/1ozhFpOtNXJuxBvHC_OiJngA14PcvyiuH/view?usp=drive_link,,
Mejoramiento de Jardin de Gastronomía,,,05/03/2026,marzo,Gastronomía,,,,Canteo Gastronomía,,https://drive.google.com/file/d/1KuuRxC-poz9ZsuVlH_KdEXavVEn_qjHA/view?usp=drive_link,,
Mejoramiento de Jardin de civil,,,05/03/2026,marzo,civil,,,,Canteo Estructuras,,https://drive.google.com/file/d/1zKp9FBFPWk625EnQdoMELSFrxeWxlG-Z/view?usp=drive_link,,
Mejoramiento de Jardin de  Biblioteca Central,,,05/03/2026,marzo, Biblioteca Central,,,,Siembra de 10 plantas de café en Biblioteca Central,,https://drive.google.com/file/d/1PUH1WwEgI16ohRt-fAHIfo62VuH0VNgC/view?usp=drive_link,,
Mejoramiento de Jardin de civil,,,04/03/2026,marzo,civil,,,,Poda de ficus en Estructuras,,https://drive.google.com/file/d/1nutkYW5M_y9SovE0iOxiZP_vpXTE1QFh/view?usp=drive_link,,
"Mejoramiento de Jardin de Comedor Central, Gastronomía y Matemática",,,04/03/2026,marzo,"Comedor Central, Gastronomía y Matemática",,,,"Canteo en Matemáticas , comedor central y Gastronomía",,https://drive.google.com/file/d/1zakCcGEoEdniYcBNcy1LVwUpnFtM05J6/view?usp=drive_link,,
Mejoramiento de Jardin de Sociales,,,04/03/2026,marzo,Sociales,,,,Siembra de plantas en CCSS y Frutilla,,https://drive.google.com/file/d/12lvSBuomPjv9jUvLpI2zaPnTeGFVZ1p_/view?usp=drive_link,,
Mejoramiento de Jardin de Z,,,04/03/2026,marzo,Z,,,,Siembra de arbusto en Z,,https://drive.google.com/file/d/1xpFqU3YFSMCLQ__fi5i02eiLY93KwWcu/view?usp=drive_link,,
Mejoramiento de Jardin de pabellon G,,,04/03/2026,marzo,pabellon G,,,,Se sacó gras en pabellón G,,https://drive.google.com/file/d/1KRzqVg6bjrRG4p-or2khQn4JMZzk9s9f/view?usp=drive_link,,
Mejoramiento de Jardin de Matemáticas,,,03/03/2026,marzo,Matemáticas,,,,Canteo y poda en Matemáticas,,https://drive.google.com/file/d/1xP7m5nBOzhbZq7EeRmJa1SDuClDMs0ON/view?usp=drive_link,,
Mejoramiento de Jardin de Matemáticas,,,02/03/2026,marzo,Matemáticas,,,,Canteo en Matemáticas,,https://drive.google.com/file/d/1scw8WOrfDCQ8xuzM3IvloykdWf782DqP/view?usp=drive_link,,
Mejoramiento de Jardin de Arqueología,Cerrado,,09/02/2026,febrero,Arqueología,,,,Canteo arqueológia,,,,
Mejoramiento de Jardin de química y ingenieria,Cerrado,,09/02/2026,febrero,química y ingenieria,,,,Canteo jardines química y ingenieria,,,,
Mejoramiento de Jardin de Fisica,Cerrado,,06/02/2026,febrero,Fisica,,,,Canteo y poda en Fisica,,,,
Mantenimiento de Jardin de Comedor Central,Cerrado,,31/01/2026,enero,Comedor Central,,,,Hojas c. Central,,,,
Mantenimiento de Jardin de frutas,Cerrado,,31/01/2026,enero,frutas,,,,Riego de jardin de frutas,,,,
Mantenimiento de Jardin de Capu,Cerrado,,31/01/2026,enero,Capu,,,,Riego de Capu,,,,
Mantenimiento de Jardin de Arquitectura,Cerrado,,31/01/2026,enero,Arquitectura,,,,Riego de Arquitectura,,,,
Mantenimiento de Jardin de Comedor Central,Cerrado,,31/01/2026,enero,Comedor Central,,,,Riego de  Comedor Central,,,,
Mantenimiento de Jardin de Educación,Cerrado,,31/01/2026,enero,Educación,,,,Barrido y botado de hojas en educación,,,,
Mantenimiento de Jardin de Educación,Cerrado,,31/01/2026,enero,Educación,,,,Poda educación,,,,
Mantenimiento de Jardin de Arquitectura,Cerrado,,29/01/2026,enero,Arquitectura,,,,Se activo 3 aspersores en Arquitectura turno noche,,,,
Mantenimiento de Jardin de Arquitectura,Cerrado,,29/01/2026,enero,Arquitectura,,,,Canteo,,,,
Mantenimiento de Jardin de Estudio TV,Cerrado,,29/01/2026,enero,Estudio TV,,,,"Barrido de hojas, jardín estudio TV.",,,,
Mantenimiento de Jardin de Polideportivo,,,29/01/2026,enero,Polideportivo,,,,Riego lo ha campeado en deporte,,,,
Mantenimiento de Jardin de Rivaguero,,,29/01/2026,enero,Rivaguero,,,,Deshierbo en poncianas,,,,
Mantenimiento de Jardin de Química ,,,29/01/2026,enero,Química ,,,,Canteo,,,,
Mantenimiento de Jardin de Arquitectura,,,28/01/2026,enero,Arquitectura,,,,Barrido de hojas en Arquitectura,,,,
Mantenimiento de Jardin de pabellón V,Cerrado,,28/01/2026,enero,pabellón V,,,,Barrido de hojas pabellón V,,,,
Mantenimiento de Jardin de baobas,Cerrado,,28/01/2026,enero,baobas,,,,Canteo baobas,,,,
Mantenimiento de Jardin de OCAI,,,28/01/2026,enero,OCAI,,,,Barrido,,,,
Mantenimiento de Jardin de FARES,,,27/01/2026,enero,FARES,,,,Poda de enredaderas artes ecenicas,,,,
Mantenimiento de Jardin de letras y humanidades,,,27/01/2026,enero,letras y humanidades,,,,Canteo poda letras humanidades,,,,
Mantenimiento de Jardin de Arquitectura,,,27/01/2026,enero,Arquitectura,,,,Canteo y poda en Arquitectura,,,,
Mantenimiento de Jardin de Arte Nuevo,,,27/01/2026,enero,Arte Nuevo,,,,"
Canteo  poda de granado y barrido de hojas artes nuevo",,,,
Mantenimiento de Jardin de FARES,,,26/01/2026,enero,FARES,,,,Poda de tipa en artes ecenicas,,,,
Mejoramiento de Jardin de centro de acopio,,,24/01/2026,enero,centro de acopio,,,,desmalezado,,,,
Mantenimiento de Jardin de CAPU,,,23/01/2026,enero,CAPU,,,,Canteo CAPU,,,,
Mejoramiento de Jardin de Pabellón Z,,,22/01/2026,enero,Pabellón Z,,,,Siembra de guanabana,,,,
Mantenimiento de Jardin de  Gestión,,,22/01/2026,enero, Gestión,,,,Canteo y poda en Gestión,,,,
Recuperación de Jardin de OCAI,,,22/01/2026,enero,OCAI,,,,Se terminó sacado de grass en esta zona OCAI,,,,
Mantenimiento de Jardin de FARES,Cerrado,,22/01/2026,enero,FARES,,,,Continuando canteo en fares,,,,
Mantenimiento de Jardin de educación,Cerrado,,21/01/2026,enero,educación,,,,Canteo educación,,,,
Mantenimiento de Jardin de TINKUY,,,21/01/2026,enero,TINKUY,,,,poda,,,,
Mantenimiento de Jardin de educación,,,21/01/2026,enero,educación,,,,poda,,,,
Mantenimiento de Jardin de FARES,,,20/01/2026,enero,FARES,,,,Canteo fares,,,,
Mantenimiento de Jardin de TINKUY,Cerrado,,20/01/2026,enero,TINKUY,,,,"Deshierbo y canteo, sector Tinkuy.",,,,
Recuperación de Jardin de OCAI,Cerrado,,20/01/2026,enero,OCAI,,,,Sacando gras en OCAI,,,,
Mantenimiento de Jardin de Pabellón Z,Cerrado,,19/01/2026,enero,Pabellón Z,,,,Canteo en Z,,,,
Mantenimiento de Jardin de FARES,Cerrado,,19/01/2026,enero,FARES,,,,Canteo artes esenicas,,,,
Mantenimiento de Jardin de comedor central,Cerrado,,19/01/2026,enero,comedor central,,,,Poda  en jardín de Comedor Central,,,,
Mejoramiento de Jardin de EEGGLL (Estudios generales Letras),Cerrado,,19/01/2026,enero,EEGGLL (Estudios generales Letras),,,,Puesta de bloques de grass (EEGGLL),,,,
Recuperación de Jardin de OCAI,Cerrado,,19/01/2026,enero,OCAI,,,,Retiro de bloques de grass (OCAI),,,,
Mantenimiento de Jardin de CENTENARIO,Cerrado,,17/01/2026,enero,CENTENARIO,,,,Riego Sociales y Centenario,,,,
Mantenimiento de Jardin de Facultad de Ingenieria,Cerrado,,17/01/2026,enero,Facultad de Ingenieria,,,,Deshierbo,,,,
Mantenimiento de Jardin de polideportivo,Cerrado,,17/01/2026,enero,polideportivo,,,,Riego en polideportivo,,,,
