Clase,Estado,Fecha de solicitud,fecha_atención,Mes,lugar,latitud,longitud,Actividad,comentario,Columna 11,Foto,Responsable,Detalle
Mantenimiento de jardines,,,19/05/2026,mayo,Estacionamiento,"-12,0706","-77,0821",Deshierbo,Deshierbo poncianas,,https://drive.google.com/file/d/11ehwyOXKx3bal57P5bXQ3Blf-Ze6F-G0/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,19/05/2026,mayo,Fares,"-12,0649","-77,0786",Mejoramiento del suelo,Sacado de champa de grass,,https://drive.google.com/file/d/1EC3eLJgXshphWygEPGcvw1bLcRkuODan/view?usp=drive_link,responsable,
Riego,,,20/05/2026,mayo,Estacionamiento,"-12,0713","-77,0822",Riego manual,Riego de poncianas,,https://drive.google.com/file/d/1psZxbsl1P5t9LXJYm3nupNf4dbiEJNLj/view?usp=sharing,responsable,
Habilitación de jardines,,,20/05/2026,mayo,Fares,"-12,0649","-77,0786",Instalación de césped,Se colocó champa de grass,,https://drive.google.com/file/d/12HLbC-MYD2bN3VDKPzUGTYjkwLaMVrL6/view?usp=sharing,responsable,
Habilitación de jardines,,,21/05/2026,mayo,Servicio médico,"-12,0700","-77,0795",Instalación de césped,Sacado de champa de grass y se puso de trs,,https://drive.google.com/file/d/1wJyrtnRysgW2LtUkHP4Bl1ADE52eBpJF/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,21/05/2026,mayo,Mac Gregor,"-12,0686","-77,0790",Resiembra,Traslado de la palmera,,https://drive.google.com/file/d/1iepNhmVIuR_0j7qbYGs6mUhgD8i_RFlV/view?usp=sharing,responsable,
Rehabilitación y rediseño de jardines,,,21/05/2026,mayo,Arquitectura,"-12,0711","-77,0809",Renovación de jardineras,Arreglo,,https://drive.google.com/file/d/1i8Cbc8O8IWFv_fVoBwp8IqOeWuffOr56/view?usp=sharing,responsable,
Poda,,,25/05/2026,mayo,Psicología,"-12,0682","-77,0808",Poda de despeje/reducción,Poda,,https://drive.google.com/file/d/1dT6E-wBPoshUlhScFFbzkqSprMAKgtH0/view?usp=sharing,responsable,
Poda,,,26/05/2026,mayo,Arquitectura,"-12,0720","-77,0808",Poda de mantenimiento,Canteo y Poda,,https://drive.google.com/file/d/1lXgF3_iF-Qo5ABF1le7F3G7oynA1jz-F/view?usp=drive_link,responsable,
Poda,,,27/05/2026,mayo,Centenario,"-12,0709","-77,0803",Poda de mantenimiento,"Poda , deshierbo y riego",,https://drive.google.com/file/d/1RYSjLHbgL_tb9QChoDMfRew8TwuudtJU/view?usp=drive_link,responsable,
