,,,,,,,,,,,,,,,,,
N°,Nombre del lugar de los arboles,Coordenadas geográficas,,Coordenadas UTM,,Nombre común,Nombre científico,Arbol,Palmera,Arbusto,Medidas,,,,Actual,Foto,LINK
,,Latitud ,Longitud,Norte,Este,,,,,,altura (m),altura del fuste,DAP(cm),Radio (m),Zunchado,,
41,Arqueología,"-12,067341","-77,081117",,,Cafeto,Coffea arabica,,,1,,,,,No,c41.jpeg,https://drive.google.com/file/d/1NoJn9fn3-F9fXScSNF_cqaegnpON_BrO/view?usp=sharing
42,Arqueología,"-12,067344","-77,081133",,,Cafeto,Coffea arabica,,,1,,,,,No,c42.jpeg,https://drive.google.com/file/d/1x2oFDc-_6HirThl3xaiGhuvYsPLZ3AYs/view?usp=sharing
43,Arqueología,"-12,067350","-77,081141",,,Cafeto,Coffea arabica,,,1,,,,,No,c43.jpeg,https://drive.google.com/file/d/1t3rN969CN6HpfeZrjgFF37SP7QgFu_gj/view?usp=sharing
44,Deportes,"-12,065898","-77,079318",,,Cafeto,Coffea arabica,,,1,,,,,No,c44.jpeg,https://drive.google.com/file/d/1vSJ8uhRPpW_2UenJMOp4jJ_nMl0zivFK/view?usp=sharing
45,Deportes,"-12,065887","-77,079302",,,Cafeto,Coffea arabica,,,1,,,,,No,c45.jpeg,https://drive.google.com/file/d/12laPJNbYCTmqil1J46_A1pQ1NiX6SOke/view?usp=sharing
46,Deportes,"-12,065890","-77,079295",,,Cafeto,Coffea arabica,,,1,,,,,No,c46.jpeg,https://drive.google.com/file/d/191aJU2PFRx0hsjsUGZj46RLOZDGYPOxe/view?usp=sharing
47,Deportes,"-12,065857","-77,079379",,,Cafeto,Coffea arabica,,,1,,,,,No,c47.jpeg,https://drive.google.com/file/d/1GpN2NBiH9_CqM1ohB95qfBAox064Ig4P/view?usp=sharing
48,Deportes,"-12,065919","-77,079321",,,Cafeto,Coffea arabica,,,1,,,,,No,c48.jpeg,https://drive.google.com/file/d/13dp1ba0Y-gkpfMhMDYRzE_2wYUsafBcS/view?usp=sharing
49,Deportes,"-12,065940","-77,079303",,,Cafeto,Coffea arabica,,,1,,,,,No,c49.jpeg,https://drive.google.com/file/d/1Wae9B_voHzTmteSefA9y5h3ttl9722zD/view?usp=sharing
50,Deportes,"-12,065948","-77,079400",,,Cafeto,Coffea arabica,,,1,,,,,No,c50.jpeg,https://drive.google.com/file/d/1RsS0y2yiCnkeB1nTm8cR_yO3AMbLu80t/view?usp=sharing
51,Apoyo al Sector Rural,"-12,073242","-77,080810",,,Cafeto,Coffea arabica,,,1,,,,,No,c51.jpeg,https://drive.google.com/file/d/1yDKqG2Bn9IXShuU_t-vjuzKLcp_wUNYp/view?usp=sharing
52,Apoyo al Sector Rural,"-12,073249","-77,080802",,,Cafeto,Coffea arabica,,,1,,,,,No,c52.jpeg,https://drive.google.com/file/d/11bxnVLkb5bgBs78ppH3QWetfBLcbqSQr/view?usp=sharing
53,Apoyo al Sector Rural,"-12,073248","-77,080801",,,Cafeto,Coffea arabica,,,1,,,,,No,c53.jpeg,https://drive.google.com/file/d/1Zn8Of_Yk8nYcs5DAG4pdIvaTftC6R_Z0/view?usp=sharing
54,Apoyo al Sector Rural,"-12,073114","-77,081258",,,Cafeto,Coffea arabica,,,1,,,,,No,c54.jpeg,https://drive.google.com/file/d/1PAcgih5VeqBEg-cjGEq1dZFkoZlsaepO/view?usp=sharing
55,Apoyo al Sector Rural,"-12,073110","-77,081256",,,Cafeto,Coffea arabica,,,1,,,,,No,c55.jpeg,https://drive.google.com/file/d/157IyKnrRk3PwMVMFhBDsLeZleeI8DImS/view?usp=sharing
56,,,,,,,,,,,,,,,No,,
57,,,,,,,,,,,,,,,No,,
58,,,,,,,,,,,,,,,No,,
59,,,,,,,,,,,,,,,No,,
60,,,,,,,,,,,,,,,No,,
61,,,,,,,,,,,,,,,No,,
62,,,,,,,,,,,,,,,No,,
63,,,,,,,,,,,,,,,No,,
64,,,,,,,,,,,,,,,No,,
65,,,,,,,,,,,,,,,No,,
66,,,,,,,,,,,,,,,No,,
67,,,,,,,,,,,,,,,No,,
68,,,,,,,,,,,,,,,No,,
69,,,,,,,,,,,,,,,No,,
70,,,,,,,,,,,,,,,No,,
71,,,,,,,,,,,,,,,No,,
72,,,,,,,,,,,,,,,No,,
73,,,,,,,,,,,,,,,No,,
74,,,,,,,,,,,,,,,No,,
75,,,,,,,,,,,,,,,No,,
76,,,,,,,,,,,,,,,No,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,,,
